File_name,Problem type,Variables number,DD Type,Max Width,Num SOC constraints,Cut Type,CutStrengthening,Best solution,Root Gap,Gap,Solution Time,DD Time,Total Number Nodes,Total Number Arcs,NodeBB,Num Cuts
knapsack_n100m10o1b5_0.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,false,3911.000000,0.015341,0.000000,4.666773,1.724714,13230,24512,562,37
knapsack_n100m10o1b5_2.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,false,3743.000000,0.020572,0.000000,5.441735,1.844523,16135,30073,1198,19
knapsack_n100m10o1b5_4.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,false,3861.000000,0.014763,0.000000,13.024304,1.414220,16485,30509,577,76
knapsack_n100m10o3b5_1.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,false,4253.000000,0.030332,0.000000,4.205148,1.343407,15240,28298,1203,80
knapsack_n100m10o3b5_0.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,false,3820.000000,0.026963,0.000000,5.387596,1.568515,13814,25289,1817,51
knapsack_n100m10o1b5_3.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,false,4231.000000,0.014890,0.000000,15.758535,1.706343,12755,23677,1023,64
knapsack_n100m10o1b5_1.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,false,4344.000000,0.025552,0.000000,17.587677,1.638354,14772,27796,1126,39
knapsack_n100m10o3b5_4.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,false,3806.000000,0.019180,0.000000,2.458629,1.376996,17153,31388,538,91
knapsack_n100m10o3b5_2.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,false,3609.000000,0.033804,0.000000,8.070018,1.635474,15545,28628,2597,42
knapsack_n100m10o3b5_3.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,false,4114.000000,0.024793,0.000000,8.349222,1.557428,13742,25083,2050,58
knapsack_n100m10o5b5_0.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,false,3787.000000,0.031423,0.000000,15.474111,1.606632,12556,22796,971,81
knapsack_n100m10o5b5_4.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,false,3766.000000,0.023633,0.000000,11.557721,1.148804,16865,30493,523,124
knapsack_n100m10o5b5_1.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,false,4189.000000,0.033421,0.000000,27.138897,1.261785,13985,25898,1826,118
knapsack_n100m10o5b5_2.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,false,3511.000000,0.039875,0.000000,29.017955,1.761530,14201,26000,2628,86
