File_name,Problem type,Variables number,Best solution,Dual bound,Gap, Solution Time
set_cover_n100_m63_d0.3_b_w38_seed4.txt,Set Cover,100,4.0,4.0,0.0,0.4932
set_cover_n100_m63_d0.4_b_w38_seed1.txt,Set Cover,100,2.0,2.0,0.0,0.0463
set_cover_n100_m63_d0.4_b_w38_seed2.txt,Set Cover,100,2.0,2.0,0.0,0.0638
set_cover_n100_m63_d0.4_b_w38_seed3.txt,Set Cover,100,2.0,2.0,0.0,0.09
set_cover_n100_m63_d0.4_b_w38_seed4.txt,Set Cover,100,2.0,2.0,0.0,0.065
set_cover_n100_m63_d0.05_b_w38_seed1.txt,Set Cover,100,14.0,14.0,0.0,0.1429
set_cover_n100_m63_d0.5_b_w38_seed1.txt,Set Cover,100,2.0,2.0,0.0,0.0465
set_cover_n100_m63_d0.05_b_w38_seed2.txt,Set Cover,100,16.0,16.0,0.0,1.2936
set_cover_n100_m63_d0.5_b_w38_seed2.txt,Set Cover,100,2.0,2.0,0.0,0.0663
set_cover_n100_m63_d0.05_b_w38_seed3.txt,Set Cover,100,15.0,15.0,0.0,0.1364
set_cover_n100_m63_d0.5_b_w38_seed3.txt,Set Cover,100,2.0,2.0,0.0,0.0503
set_cover_n100_m63_d0.05_b_w38_seed4.txt,Set Cover,100,14.0,14.0,0.0,0.0943
set_cover_n100_m63_d0.5_b_w38_seed4.txt,Set Cover,100,2.0,2.0,0.0,0.0588
set_cover_n100_m63_d0.15_b_w38_seed1.txt,Set Cover,100,7.0,7.0,0.0,1.9784
set_cover_n100_m63_d0.15_b_w38_seed2.txt,Set Cover,100,6.0,6.0,0.0,2.4341
set_cover_n100_m63_d0.15_b_w38_seed3.txt,Set Cover,100,7.0,7.0,0.0,1.4577
set_cover_n100_m63_d0.15_b_w38_seed4.txt,Set Cover,100,6.0,6.0,0.0,0.3996
set_cover_n100_m63_d0.25_b_w38_seed1.txt,Set Cover,100,4.0,4.0,0.0,0.2219
set_cover_n100_m63_d0.25_b_w38_seed2.txt,Set Cover,100,4.0,4.0,0.0,0.2845
set_cover_n100_m63_d0.25_b_w38_seed3.txt,Set Cover,100,4.0,4.0,0.0,0.2678
set_cover_n100_m63_d0.25_b_w38_seed4.txt,Set Cover,100,4.0,4.0,0.0,0.1636
set_cover_n100_m63_d0.35_b_w38_seed1.txt,Set Cover,100,2.0,2.0,0.0,0.1419
set_cover_n100_m63_d0.35_b_w38_seed2.txt,Set Cover,100,2.0,2.0,0.0,0.0373
set_cover_n100_m63_d0.35_b_w38_seed3.txt,Set Cover,100,3.0,3.0,0.0,0.142
set_cover_n100_m63_d0.35_b_w38_seed4.txt,Set Cover,100,2.0,2.0,0.0,0.0528
set_cover_n100_m63_d0.45_b_w38_seed1.txt,Set Cover,100,2.0,2.0,0.0,0.0664
set_cover_n100_m63_d0.45_b_w38_seed2.txt,Set Cover,100,2.0,2.0,0.0,0.0579
set_cover_n100_m63_d0.45_b_w38_seed3.txt,Set Cover,100,2.0,2.0,0.0,0.0389
set_cover_n100_m63_d0.45_b_w38_seed4.txt,Set Cover,100,2.0,2.0,0.0,0.1628
set_cover_n100_m66_d0.1_b_w35_seed1.txt,Set Cover,100,9.0,9.0,0.0,0.3325
set_cover_n100_m66_d0.1_b_w35_seed2.txt,Set Cover,100,9.0,9.0,0.0,0.2291
set_cover_n100_m66_d0.1_b_w35_seed3.txt,Set Cover,100,9.0,9.0,0.0,0.3074
set_cover_n100_m66_d0.1_b_w35_seed4.txt,Set Cover,100,9.0,9.0,0.0,0.3769
set_cover_n100_m66_d0.2_b_w35_seed1.txt,Set Cover,100,5.0,5.0,0.0,0.2562
set_cover_n100_m66_d0.2_b_w35_seed2.txt,Set Cover,100,5.0,5.0,0.0,0.271
set_cover_n100_m66_d0.2_b_w35_seed3.txt,Set Cover,100,5.0,5.0,0.0,0.2035
set_cover_n100_m66_d0.2_b_w35_seed4.txt,Set Cover,100,5.0,5.0,0.0,0.2495
set_cover_n100_m66_d0.3_b_w35_seed1.txt,Set Cover,100,4.0,4.0,0.0,0.2632
set_cover_n100_m66_d0.3_b_w35_seed2.txt,Set Cover,100,3.0,3.0,0.0,0.2
set_cover_n100_m66_d0.3_b_w35_seed3.txt,Set Cover,100,3.0,3.0,0.0,0.273
set_cover_n100_m66_d0.3_b_w35_seed4.txt,Set Cover,100,4.0,4.0,0.0,0.215
set_cover_n100_m66_d0.4_b_w35_seed1.txt,Set Cover,100,2.0,2.0,0.0,0.0335
set_cover_n100_m66_d0.4_b_w35_seed2.txt,Set Cover,100,2.0,2.0,0.0,0.067
set_cover_n100_m66_d0.4_b_w35_seed3.txt,Set Cover,100,2.0,2.0,0.0,0.0702
set_cover_n100_m66_d0.4_b_w35_seed4.txt,Set Cover,100,2.0,2.0,0.0,0.0745
set_cover_n100_m66_d0.05_b_w35_seed1.txt,Set Cover,100,15.0,15.0,0.0,0.2527
set_cover_n100_m66_d0.5_b_w35_seed1.txt,Set Cover,100,2.0,2.0,0.0,0.0688
set_cover_n100_m66_d0.05_b_w35_seed2.txt,Set Cover,100,15.0,15.0,0.0,0.2857
set_cover_n100_m66_d0.5_b_w35_seed2.txt,Set Cover,100,2.0,2.0,0.0,0.0754
