File_name,Problem type,Variables number,DD Type,Max Width,Num SOC constraints,Cut Type,CutStrengthening,Best solution,Root Gap,Gap,Solution Time,DD Time,Total Number Nodes,Total Number Arcs,NodeBB,Num Cuts
knapsack_n100m10o1b5_0.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,False,3911.0,0.015341344924571721,0.0,3.3391,4.6118,13230,24512,562,37
knapsack_n100m10o1b5_2.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,False,3743.0,0.020571733903286135,0.0,4.3355,5.1417,16135,30073,1198,19
knapsack_n100m10o1b5_4.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,False,3861.0,0.014504014504014505,0.0,5.7071,4.1563,16485,30509,454,92
knapsack_n100m10o1b5_3.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,False,4231.0,0.014890096903805246,0.0,14.8551,4.6436,12755,23677,1023,64
knapsack_n100m10o1b5_1.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,False,4344.0,0.025552486187845305,0.0,16.1795,4.7069,14772,27796,1126,39
knapsack_n100m10o3b5_0.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,False,3820.0,0.026963350785340314,0.0,5.2588,3.888,13814,25289,1817,51
knapsack_n100m10o3b5_1.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,False,4253.0,0.030331530684222903,0.0,4.1164,3.7715,15240,28298,1203,80
knapsack_n100m10o3b5_2.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,False,3609.0,0.03380437794402882,0.0,7.7385,4.3642,15545,28628,2597,42
knapsack_n100m10o3b5_4.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,False,3806.0,0.019180241723594324,0.0,3.0521,3.6878,17153,31388,545,91
knapsack_n100m10o3b5_3.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,False,4114.0,0.024793388429752067,0.0,8.1108,3.9394,13742,25083,2050,58
knapsack_n100m10o5b5_0.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,False,3787.0,0.031423290203327174,0.0,18.2517,3.9267000000000003,12556,22796,1072,86
knapsack_n100m10o5b5_4.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,False,3766.0,0.023632501327668615,0.0,11.22,2.9767,16865,30493,523,124
knapsack_n100m10o5b5_1.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,False,4189.0,0.0334208641680592,0.0,26.4499,3.4993,13985,25898,1826,118
knapsack_n100m10o5b5_2.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,False,3511.0,0.03987467957846767,0.0,28.3584,4.2056,14201,26000,2628,86
knapsack_n100m10o5b5_3.txt,SOC Knapsack,100,RelaxPriority,4000,10,FlowCuts,False,4015.0,0.03661270236612702,0.0,25.0247,3.553,13670,24784,3730,87
knapsack_n100m20o1b5_0.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,False,3360.0,0.033928571428571426,0.0,24.5286,11.159,31488,58853,2842,61
knapsack_n100m20o1b5_1.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,False,3255.0,0.025192012288786484,0.0,29.1018,12.080300000000001,29841,55816,1105,82
knapsack_n100m20o1b5_2.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,False,3539.0,0.025713478383724217,0.0,37.42,10.7618,29469,54250,1949,48
knapsack_n100m20o1b5_3.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,False,3692.0,0.03629469122426869,0.0,36.8264,11.3371,30649,57220,5197,61
knapsack_n100m20o1b5_4.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,False,3633.0,0.030002752546105148,0.0,49.2771,11.721400000000001,31339,58534,6143,75
knapsack_n100m20o3b5_1.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,False,3124.0,0.04257362355953905,0.0,37.9453,11.2949,30392,56293,6345,117
knapsack_n100m20o3b5_0.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,False,3193.0,0.05042279987472596,0.0,87.2566,10.4479,32310,59615,15523,71
knapsack_n100m20o3b5_2.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,False,3359.0,0.051503423637987496,0.0,130.4958,9.387599999999999,30192,54920,18938,87
knapsack_n100m20o3b5_3.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,False,3514.0,0.049800796812749,0.0,135.4311,10.3151,31992,58879,20320,67
knapsack_n100m20o3b5_4.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,False,3485.0,0.049067431850789094,0.0,136.1153,10.8828,31283,58109,19858,71
knapsack_n100m20o5b5_0.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,False,3071.0,0.06447411266688376,0.0,123.5334,9.719100000000001,30895,56580,18965,75
knapsack_n100m20o5b5_1.txt,SOC Knapsack,100,RelaxPriority,4000,20,FlowCuts,False,3029.0,0.04985143611753054,0.0,87.0737,11.0053,29984,55183,3703,101
knapsack_n125m10o1b5_0.txt,SOC Knapsack,125,RelaxPriority,4000,10,FlowCuts,False,5206.0,0.009220130618517095,0.0,2.6514,6.692,19888,36673,443,29
