File_name,Problem type,Variables number,DD Type,Max Width,Is Reduced,Objective Type,Optimization Value,Construction Time,Reduce Time,Solution Time,Number Node,Number Arcs,Actual Max Width
f1_l-d_kp_10_269,Knapsack,10,Exact,99999,false,max,295,0.00024,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Restricted,500,false,max,295,0.00022,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Restricted,1000,false,max,295,0.00023,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Restricted,2000,false,max,295,0.00024,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Restricted,5000,false,max,295,0.00029,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Restricted,10000,false,max,295,0.00026,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Restricted,20000,false,max,295,0.00027,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Relaxed,500,false,max,295,0.00024,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Relaxed,1000,false,max,295,0.00022,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Relaxed,2000,false,max,295,0.00024,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Relaxed,5000,false,max,295,0.00022,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Relaxed,10000,false,max,295,0.00021,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Relaxed,20000,false,max,295,0.00021,na,na,726,926,196
f2_l-d_kp_20_878,Knapsack,20,Exact,99999,false,max,1024,0.00255,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Restricted,500,false,max,1024,0.00199,na,na,6467,11062,586
f2_l-d_kp_20_878,Knapsack,20,Restricted,1000,false,max,1024,0.00260,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Restricted,2000,false,max,1024,0.00256,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Restricted,5000,false,max,1024,0.00241,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Restricted,10000,false,max,1024,0.00258,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Restricted,20000,false,max,1024,0.00264,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Relaxed,500,false,max,1024,0.00234,na,na,6493,11474,588
f2_l-d_kp_20_878,Knapsack,20,Relaxed,1000,false,max,1024,0.00253,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Relaxed,2000,false,max,1024,0.00271,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Relaxed,5000,false,max,1024,0.00267,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Relaxed,10000,false,max,1024,0.00261,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Relaxed,20000,false,max,1024,0.00261,na,na,8435,14984,852
f3_l-d_kp_4_20,Knapsack,4,Exact,99999,false,max,35,0.00002,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Restricted,500,false,max,35,0.00001,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Restricted,1000,false,max,35,0.00001,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Restricted,2000,false,max,35,0.00002,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Restricted,5000,false,max,35,0.00002,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Restricted,10000,false,max,35,0.00005,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Restricted,20000,false,max,35,0.00002,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Relaxed,500,false,max,35,0.00002,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Relaxed,1000,false,max,35,0.00001,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Relaxed,2000,false,max,35,0.00001,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Relaxed,5000,false,max,35,0.00001,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Relaxed,10000,false,max,35,0.00001,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Relaxed,20000,false,max,35,0.00001,na,na,28,27,13
f4_l-d_kp_4_11,Knapsack,4,Exact,99999,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Restricted,500,false,max,23,0.00002,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Restricted,1000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Restricted,2000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Restricted,5000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Restricted,10000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Restricted,20000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Relaxed,500,false,max,23,0.00002,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Relaxed,1000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Relaxed,2000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Relaxed,5000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Relaxed,10000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Relaxed,20000,false,max,23,0.00001,na,na,22,22,9
f6_l-d_kp_10_60,Knapsack,10,Exact,99999,false,max,52,0.00012,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Restricted,500,false,max,52,0.00012,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Restricted,1000,false,max,52,0.00011,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Restricted,2000,false,max,52,0.00012,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Restricted,5000,false,max,52,0.00010,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Restricted,10000,false,max,52,0.00012,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Restricted,20000,false,max,52,0.00011,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Relaxed,500,false,max,52,0.00012,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Relaxed,1000,false,max,52,0.00012,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Relaxed,2000,false,max,52,0.00012,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Relaxed,5000,false,max,52,0.00012,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Relaxed,10000,false,max,52,0.00010,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Relaxed,20000,false,max,52,0.00013,na,na,277,415,60
f7_l-d_kp_7_50,Knapsack,7,Exact,99999,false,max,107,0.00005,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Restricted,500,false,max,107,0.00006,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Restricted,1000,false,max,107,0.00005,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Restricted,2000,false,max,107,0.00004,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Restricted,5000,false,max,107,0.00005,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Restricted,10000,false,max,107,0.00005,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Restricted,20000,false,max,107,0.00004,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Relaxed,500,false,max,107,0.00005,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Relaxed,1000,false,max,107,0.00005,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Relaxed,2000,false,max,107,0.00004,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Relaxed,5000,false,max,107,0.00005,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Relaxed,10000,false,max,107,0.00005,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Relaxed,20000,false,max,107,0.00004,na,na,121,146,42
f8_l-d_kp_23_10000,Knapsack,23,Exact,99999,false,max,9767,0.00404,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Restricted,500,false,max,9767,0.00215,na,na,7639,12198,586
f8_l-d_kp_23_10000,Knapsack,23,Restricted,1000,false,max,9767,0.00318,na,na,11833,19445,1138
f8_l-d_kp_23_10000,Knapsack,23,Restricted,2000,false,max,9767,0.00411,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Restricted,5000,false,max,9767,0.00417,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Restricted,10000,false,max,9767,0.00381,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Restricted,20000,false,max,9767,0.00390,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Relaxed,500,false,max,11497,0.00229,na,na,7710,12804,588
f8_l-d_kp_23_10000,Knapsack,23,Relaxed,1000,false,max,9767,0.00354,na,na,11842,19983,1140
f8_l-d_kp_23_10000,Knapsack,23,Relaxed,2000,false,max,9767,0.00399,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Relaxed,5000,false,max,9767,0.00419,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Relaxed,10000,false,max,9767,0.00400,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Relaxed,20000,false,max,9767,0.00434,na,na,13672,22667,1783
f9_l-d_kp_5_80,Knapsack,5,Exact,99999,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Restricted,500,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Restricted,1000,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Restricted,2000,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Restricted,5000,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Restricted,10000,false,max,130,0.00003,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Restricted,20000,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Relaxed,500,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Relaxed,1000,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Relaxed,2000,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Relaxed,5000,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Relaxed,10000,false,max,130,0.00002,na,na,61,60,30
f9_l-d_kp_5_80,Knapsack,5,Relaxed,20000,false,max,130,0.00002,na,na,61,60,30
